,County,State,City,Pollutant,Date,total_population,cumulative_cases,cumulative_deaths,new_cases,new_deaths
195,Maricopa,Arizona,Phoenix,16.7,2020-01-25,4253913.0,0,0,0.0,0.0
196,Maricopa,Arizona,Phoenix,18.7,2020-01-25,4253913.0,0,0,0.0,0.0
197,Maricopa,Arizona,Phoenix,6.2,2020-01-28,4253913.0,1,0,0.0,0.0
198,Maricopa,Arizona,Mesa,4.1,2020-01-28,4253913.0,1,0,0.0,0.0
199,Maricopa,Arizona,Scottsdale,4.1,2020-01-28,4253913.0,1,0,0.0,0.0
200,Maricopa,Arizona,Scottsdale,4.0,2020-01-28,4253913.0,1,0,0.0,0.0
201,Maricopa,Arizona,Phoenix,5.9,2020-01-28,4253913.0,1,0,0.0,0.0
202,Maricopa,Arizona,Phoenix,9.7,2020-01-28,4253913.0,1,0,0.0,0.0
203,Maricopa,Arizona,Phoenix,5.0,2020-01-28,4253913.0,1,0,0.0,0.0
204,Maricopa,Arizona,Phoenix,5.8,2020-01-28,4253913.0,1,0,0.0,0.0
205,Maricopa,Arizona,Glendale,5.8,2020-01-28,4253913.0,1,0,0.0,0.0
206,Maricopa,Arizona,Tempe,4.7,2020-01-28,4253913.0,1,0,0.0,0.0
207,Maricopa,Arizona,Phoenix,7.7,2020-01-28,4253913.0,1,0,0.0,0.0
208,Maricopa,Arizona,Phoenix,12.8,2020-01-28,4253913.0,1,0,0.0,0.0
209,Maricopa,Arizona,Phoenix,10.9,2020-01-31,4253913.0,1,0,0.0,0.0
210,Maricopa,Arizona,Mesa,6.6,2020-01-31,4253913.0,1,0,0.0,0.0
211,Maricopa,Arizona,Phoenix,6.0,2020-01-31,4253913.0,1,0,0.0,0.0
212,Maricopa,Arizona,Phoenix,14.4,2020-01-31,4253913.0,1,0,0.0,0.0
213,Maricopa,Arizona,Phoenix,12.1,2020-01-31,4253913.0,1,0,0.0,0.0
214,Maricopa,Arizona,Phoenix,11.3,2020-01-31,4253913.0,1,0,0.0,0.0
215,Maricopa,Arizona,Glendale,3.3,2020-01-31,4253913.0,1,0,0.0,0.0
216,Maricopa,Arizona,Tempe,7.7,2020-01-31,4253913.0,1,0,0.0,0.0
217,Maricopa,Arizona,Phoenix,12.6,2020-01-31,4253913.0,1,0,0.0,0.0
218,Maricopa,Arizona,Phoenix,16.8,2020-01-31,4253913.0,1,0,0.0,0.0
219,Maricopa,Arizona,Phoenix,7.9,2020-02-03,4253913.0,1,0,0.0,0.0
220,Maricopa,Arizona,Scottsdale,6.6,2020-02-03,4253913.0,1,0,0.0,0.0
221,Maricopa,Arizona,Scottsdale,6.5,2020-02-03,4253913.0,1,0,0.0,0.0
222,Maricopa,Arizona,Phoenix,7.7,2020-02-03,4253913.0,1,0,0.0,0.0
223,Maricopa,Arizona,Phoenix,7.9,2020-02-06,4253913.0,1,0,0.0,0.0
224,Maricopa,Arizona,Phoenix,7.3,2020-02-06,4253913.0,1,0,0.0,0.0
225,Maricopa,Arizona,Phoenix,4.8,2020-02-09,4253913.0,1,0,0.0,0.0
226,Maricopa,Arizona,Scottsdale,5.2,2020-02-09,4253913.0,1,0,0.0,0.0
227,Maricopa,Arizona,Scottsdale,5.4,2020-02-09,4253913.0,1,0,0.0,0.0
228,Maricopa,Arizona,Phoenix,5.4,2020-02-09,4253913.0,1,0,0.0,0.0
229,Maricopa,Arizona,Phoenix,4.7,2020-02-12,4253913.0,1,0,0.0,0.0
230,Maricopa,Arizona,Phoenix,4.5,2020-02-12,4253913.0,1,0,0.0,0.0
231,Maricopa,Arizona,Phoenix,13.1,2020-02-15,4253913.0,1,0,0.0,0.0
232,Maricopa,Arizona,Scottsdale,4.9,2020-02-15,4253913.0,1,0,0.0,0.0
233,Maricopa,Arizona,Scottsdale,4.5,2020-02-15,4253913.0,1,0,0.0,0.0
234,Maricopa,Arizona,Phoenix,14.1,2020-02-15,4253913.0,1,0,0.0,0.0
235,Maricopa,Arizona,Phoenix,10.0,2020-02-18,4253913.0,1,0,0.0,0.0
236,Maricopa,Arizona,Phoenix,11.5,2020-02-18,4253913.0,1,0,0.0,0.0
237,Maricopa,Arizona,Phoenix,5.5,2020-02-21,4253913.0,1,0,0.0,0.0
238,Maricopa,Arizona,Scottsdale,4.5,2020-02-21,4253913.0,1,0,0.0,0.0
239,Maricopa,Arizona,Scottsdale,4.9,2020-02-21,4253913.0,1,0,0.0,0.0
240,Maricopa,Arizona,Phoenix,5.5,2020-02-21,4253913.0,1,0,0.0,0.0
241,Maricopa,Arizona,Phoenix,6.0,2020-02-24,4253913.0,1,0,0.0,0.0
242,Maricopa,Arizona,Phoenix,5.9,2020-02-24,4253913.0,1,0,0.0,0.0
243,Maricopa,Arizona,Phoenix,7.3,2020-02-27,4253913.0,1,0,0.0,0.0
244,Maricopa,Arizona,Scottsdale,3.3,2020-02-27,4253913.0,1,0,0.0,0.0
245,Maricopa,Arizona,Scottsdale,3.2,2020-02-27,4253913.0,1,0,0.0,0.0
246,Maricopa,Arizona,Phoenix,7.6,2020-02-27,4253913.0,1,0,0.0,0.0
247,Maricopa,Arizona,Phoenix,5.1,2020-03-01,4253913.0,1,0,0.0,0.0
248,Maricopa,Arizona,Phoenix,6.2,2020-03-01,4253913.0,1,0,0.0,0.0
249,Maricopa,Arizona,Phoenix,4.6,2020-03-04,4253913.0,1,0,0.0,0.0
250,Maricopa,Arizona,Scottsdale,5.1,2020-03-04,4253913.0,1,0,0.0,0.0
251,Maricopa,Arizona,Scottsdale,4.5,2020-03-04,4253913.0,1,0,0.0,0.0
252,Maricopa,Arizona,Phoenix,4.6,2020-03-04,4253913.0,1,0,0.0,0.0
253,Maricopa,Arizona,Phoenix,3.7,2020-03-07,4253913.0,2,0,0.0,0.0
254,Maricopa,Arizona,Phoenix,3.4,2020-03-07,4253913.0,2,0,0.0,0.0
255,Maricopa,Arizona,Phoenix,3.7,2020-03-10,4253913.0,2,0,0.0,0.0
256,Maricopa,Arizona,Scottsdale,3.7,2020-03-10,4253913.0,2,0,0.0,0.0
257,Maricopa,Arizona,Phoenix,4.4,2020-03-10,4253913.0,2,0,0.0,0.0
258,Maricopa,Arizona,Phoenix,2.2,2020-03-13,4253913.0,3,0,0.0,0.0
259,Maricopa,Arizona,Phoenix,2.2,2020-03-13,4253913.0,3,0,0.0,0.0
260,Maricopa,Arizona,Phoenix,4.5,2020-03-16,4253913.0,8,0,4.0,0.0
261,Maricopa,Arizona,Scottsdale,3.3,2020-03-16,4253913.0,8,0,4.0,0.0
262,Maricopa,Arizona,Phoenix,4.8,2020-03-16,4253913.0,8,0,4.0,0.0
263,Maricopa,Arizona,Phoenix,2.9,2020-03-19,4253913.0,22,0,11.0,0.0
264,Maricopa,Arizona,Phoenix,2.5,2020-03-19,4253913.0,22,0,11.0,0.0
265,Maricopa,Arizona,Phoenix,7.5,2020-03-22,4253913.0,81,2,32.0,1.0
266,Maricopa,Arizona,Scottsdale,3.5,2020-03-22,4253913.0,81,2,32.0,1.0
267,Maricopa,Arizona,Scottsdale,3.5,2020-03-22,4253913.0,81,2,32.0,1.0
268,Maricopa,Arizona,Phoenix,8.1,2020-03-22,4253913.0,81,2,32.0,1.0
269,Maricopa,Arizona,Phoenix,4.3,2020-03-25,4253913.0,251,2,52.0,0.0
270,Maricopa,Arizona,Phoenix,2.8,2020-03-25,4253913.0,251,2,52.0,0.0
271,Maricopa,Arizona,Phoenix,6.2,2020-03-28,4253913.0,454,5,55.0,0.0
272,Maricopa,Arizona,Scottsdale,4.1,2020-03-28,4253913.0,454,5,55.0,0.0
273,Maricopa,Arizona,Scottsdale,3.4,2020-03-28,4253913.0,454,5,55.0,0.0
274,Maricopa,Arizona,Phoenix,5.8,2020-03-28,4253913.0,454,5,55.0,0.0
275,Maricopa,Arizona,Phoenix,5.9,2020-03-31,4253913.0,788,5,98.0,0.0
276,Maricopa,Arizona,Phoenix,6.3,2020-03-31,4253913.0,788,5,98.0,0.0
277,Maricopa,Arizona,Mesa,10.8,2020-01-23,4253913.0,0,0,0.0,0.0
278,Maricopa,Arizona,Phoenix,14.4,2020-01-23,4253913.0,0,0,0.0,0.0
279,Maricopa,Arizona,Phoenix,16.2,2020-01-23,4253913.0,0,0,0.0,0.0
280,Maricopa,Arizona,Phoenix,12.8,2020-01-23,4253913.0,0,0,0.0,0.0
281,Maricopa,Arizona,Phoenix,17.6,2020-01-23,4253913.0,0,0,0.0,0.0
